alpha.true,beta.true,n,mcc_fail_rate,rmse_Kout_alpha,rmse_MLE_alpha,rmse_McC_alpha,rmse_WLS_k10_alpha,rmse_WLS_k16_alpha,rmse_WLS_k5_alpha,rmse_trim_Kout_alpha,rmse_trim_MLE_alpha,rmse_trim_McC_alpha,rmse_trim_WLS_k10_alpha,rmse_trim_WLS_k16_alpha,rmse_trim_WLS_k5_alpha
0.2,0,250,1.000,0.048,0.029,,0.040,0.048,0.034,0.042,0.023,,0.036,0.044,0.029
0.2,0,500,1.000,0.034,0.027,,0.032,0.037,0.030,0.030,0.021,,0.028,0.034,0.026
0.2,0,1000,1.000,0.025,0.020,,0.021,0.026,0.022,0.022,0.017,,0.020,0.024,0.020
0.2,0.75,250,1.000,0.047,0.030,,0.019,0.021,0.026,0.042,0.026,,0.015,0.017,0.024
0.2,0.75,500,1.000,0.035,0.031,,0.014,0.015,0.017,0.031,0.027,,0.012,0.013,0.015
0.2,0.75,1000,1.000,0.024,0.027,,0.009,0.010,0.011,0.021,0.023,,0.008,0.009,0.010
0.2,1,250,1.000,0.048,0.042,,0.021,0.019,0.024,0.041,0.037,,0.019,0.017,0.022
0.2,1,500,1.000,0.032,0.041,,0.013,0.012,0.016,0.028,0.037,,0.011,0.010,0.014
0.2,1,1000,1.000,0.025,0.042,,0.009,0.008,0.011,0.022,0.038,,0.008,0.007,0.010
0.4,0,250,0.993,0.046,0.027,,0.062,0.070,0.055,0.041,0.024,,0.054,0.062,0.046
0.4,0,500,0.999,0.036,0.015,,0.039,0.047,0.039,0.031,0.014,,0.035,0.042,0.034
0.4,0,1000,1.000,0.026,0.011,,0.028,0.032,0.027,0.022,0.009,,0.024,0.028,0.024
0.4,0.75,250,0.937,0.038,0.023,,0.037,0.038,0.042,0.032,0.019,,0.032,0.031,0.038
0.4,0.75,500,0.986,0.024,0.016,,0.027,0.027,0.030,0.021,0.014,,0.023,0.022,0.026
0.4,0.75,1000,0.999,0.017,0.011,,0.019,0.019,0.020,0.015,0.009,,0.017,0.016,0.018
0.4,1,250,0.991,0.043,0.028,,0.037,0.036,0.042,0.036,0.018,,0.032,0.031,0.038
0.4,1,500,1.000,0.031,0.014,,0.026,0.024,0.029,0.027,0.012,,0.023,0.021,0.025
0.4,1,1000,1.000,0.020,0.016,,0.018,0.018,0.020,0.018,0.009,,0.016,0.015,0.017
0.6,0,250,0.185,0.065,0.040,,0.065,0.070,0.059,0.057,0.034,,0.055,0.060,0.050
0.6,0,500,0.097,0.043,0.027,0.045,0.043,0.049,0.042,0.037,0.023,0.037,0.037,0.042,0.036
0.6,0,1000,0.128,0.032,0.019,,0.032,0.034,0.033,0.027,0.017,,0.027,0.029,0.028
0.6,0.75,250,0.091,0.055,0.038,0.080,0.059,0.059,0.065,0.049,0.033,0.067,0.052,0.050,0.058
0.6,0.75,500,0.026,0.037,0.026,0.057,0.040,0.039,0.043,0.031,0.023,0.048,0.035,0.033,0.038
0.6,0.75,1000,0.004,0.027,0.018,0.042,0.029,0.029,0.030,0.023,0.015,0.036,0.025,0.025,0.027
0.6,1,250,0.077,0.059,0.032,0.052,0.056,0.054,0.063,0.052,0.027,0.046,0.049,0.047,0.055
0.6,1,500,0.023,0.039,0.022,0.041,0.040,0.037,0.045,0.034,0.019,0.036,0.035,0.032,0.039
0.6,1,1000,0.003,0.028,0.017,0.030,0.028,0.027,0.031,0.025,0.015,0.026,0.024,0.024,0.028
0.8,0,250,0.029,0.068,0.055,0.088,0.071,0.075,0.071,0.059,0.047,0.073,0.060,0.063,0.062
0.8,0,500,0.031,0.047,0.035,0.074,0.051,0.052,0.053,0.042,0.030,0.054,0.044,0.045,0.046
0.8,0,1000,0.048,0.035,0.027,0.066,0.037,0.038,0.039,0.030,0.024,0.043,0.032,0.033,0.034
0.8,0.75,250,0.000,0.065,0.051,0.103,0.075,0.071,0.081,0.056,0.046,0.089,0.066,0.062,0.072
0.8,0.75,500,0.000,0.045,0.036,0.075,0.052,0.052,0.056,0.040,0.032,0.065,0.045,0.045,0.049
0.8,0.75,1000,0.000,0.032,0.026,0.053,0.038,0.038,0.041,0.028,0.023,0.045,0.033,0.033,0.036
0.8,1,250,0.000,0.062,0.041,0.079,0.073,0.071,0.083,0.055,0.035,0.069,0.065,0.062,0.073
0.8,1,500,0.000,0.046,0.032,0.058,0.051,0.048,0.060,0.040,0.028,0.050,0.045,0.042,0.052
0.8,1,1000,0.000,0.034,0.023,0.042,0.038,0.036,0.042,0.029,0.019,0.036,0.033,0.031,0.037
1,0,250,0.001,0.082,0.072,0.103,0.086,0.083,0.090,0.072,0.062,0.092,0.076,0.073,0.079
1,0,500,0.000,0.058,0.048,0.080,0.062,0.061,0.064,0.050,0.042,0.068,0.054,0.053,0.056
1,0,1000,0.000,0.039,0.034,0.068,0.043,0.044,0.047,0.035,0.029,0.053,0.038,0.039,0.040
1,0.75,250,0.000,0.076,0.067,0.119,0.090,0.088,0.100,0.067,0.058,0.104,0.080,0.078,0.088
1,0.75,500,0.000,0.054,0.051,0.086,0.060,0.059,0.069,0.047,0.043,0.075,0.053,0.052,0.061
1,0.75,1000,0.000,0.041,0.033,0.064,0.045,0.044,0.051,0.035,0.028,0.055,0.039,0.038,0.045
1,1,250,0.000,0.079,0.052,0.101,0.093,0.090,0.104,0.069,0.045,0.088,0.082,0.078,0.091
1,1,500,0.000,0.058,0.042,0.070,0.066,0.064,0.075,0.050,0.035,0.060,0.057,0.055,0.066
1,1,1000,0.000,0.040,0.028,0.050,0.045,0.043,0.053,0.035,0.024,0.042,0.040,0.038,0.047
1.2,0,250,0.000,0.093,0.089,0.110,0.094,0.094,0.103,0.081,0.078,0.095,0.082,0.081,0.090
1.2,0,500,0.000,0.067,0.065,0.077,0.069,0.068,0.072,0.058,0.055,0.065,0.060,0.059,0.063
1.2,0,1000,0.000,0.047,0.042,0.059,0.052,0.050,0.054,0.042,0.037,0.051,0.046,0.044,0.047
1.2,0.75,250,0.000,0.091,0.078,0.130,0.101,0.098,0.115,0.077,0.067,0.114,0.089,0.085,0.101
1.2,0.75,500,0.000,0.063,0.057,0.098,0.075,0.072,0.081,0.055,0.049,0.086,0.066,0.063,0.071
1.2,0.75,1000,0.000,0.047,0.041,0.073,0.053,0.051,0.060,0.040,0.036,0.064,0.047,0.044,0.052
1.2,1,250,0.000,0.099,0.073,0.115,0.108,0.103,0.121,0.086,0.066,0.101,0.096,0.092,0.108
1.2,1,500,0.000,0.068,0.052,0.080,0.077,0.074,0.089,0.059,0.046,0.068,0.068,0.065,0.077
1.2,1,1000,0.000,0.047,0.038,0.059,0.055,0.052,0.064,0.041,0.033,0.050,0.048,0.046,0.057
1.4,0,250,0.002,0.111,0.099,0.127,0.105,0.102,0.118,0.095,0.085,0.109,0.090,0.087,0.103
1.4,0,500,0.000,0.078,0.070,0.086,0.075,0.076,0.082,0.068,0.058,0.073,0.066,0.066,0.073
1.4,0,1000,0.000,0.050,0.047,0.065,0.053,0.052,0.059,0.043,0.040,0.054,0.047,0.045,0.051
1.4,0.75,250,0.000,0.114,0.087,0.134,0.116,0.111,0.130,0.099,0.074,0.117,0.101,0.098,0.115
1.4,0.75,500,0.000,0.074,0.065,0.099,0.080,0.077,0.095,0.065,0.056,0.088,0.070,0.067,0.082
1.4,0.75,1000,0.000,0.050,0.045,0.075,0.056,0.054,0.065,0.044,0.039,0.066,0.049,0.047,0.058
1.4,1,250,0.009,0.113,0.073,0.123,0.119,0.115,0.135,0.100,0.066,0.106,0.104,0.101,0.118
1.4,1,500,0.000,0.077,0.057,0.089,0.085,0.080,0.098,0.067,0.050,0.076,0.075,0.071,0.086
1.4,1,1000,0.000,0.054,0.041,0.068,0.061,0.057,0.073,0.047,0.036,0.058,0.054,0.050,0.064
