alpha.true,beta.true,n,mcc_fail_rate,rmse_Kout_sigma,rmse_MLE_sigma,rmse_McC_sigma,rmse_WLS_k10,rmse_WLS_k16,rmse_WLS_k5,rmse_trim_Kout_sigma,rmse_trim_MLE_sigma,rmse_trim_McC_sigma,rmse_trim_WLS_k10,rmse_trim_WLS_k16,rmse_trim_WLS_k5
0.2,0,250,1.000,1761.343,136.058,,12.699,14.229,11.318,47.105,20.579,,12.117,13.720,10.620
0.2,0,500,1.000,105.210,427.542,,11.046,12.446,10.352,24.034,18.494,,10.504,12.000,9.730
0.2,0,1000,1.000,22.179,22.417,,8.535,9.837,8.600,14.109,13.013,,8.112,9.416,8.086
0.2,0.75,250,1.000,36915.391,77.944,,10.907,8.716,27.446,52.320,17.207,,8.557,7.805,22.185
0.2,0.75,500,1.000,880.270,111.101,,6.985,6.672,13.211,25.319,15.680,,5.981,5.914,10.770
0.2,0.75,1000,1.000,24.253,39.055,,4.803,4.960,7.322,13.288,12.962,,4.121,4.347,5.982
0.2,1,250,1.000,5183469536925.190,1113.975,,17.227,14.932,23.979,57.545,43.584,,14.324,12.374,19.853
0.2,1,500,1.000,127.969,215.854,,9.127,7.595,12.101,23.218,38.159,,7.517,6.225,9.989
0.2,1,1000,1.000,23.124,693.101,,5.625,4.943,7.555,14.636,34.079,,4.832,4.227,6.341
0.4,0,250,0.993,1.658,0.700,,1.078,1.175,0.996,1.228,0.591,,0.996,1.099,0.902
0.4,0,500,0.999,1.098,0.392,,0.765,0.886,0.772,0.850,0.347,,0.701,0.823,0.693
0.4,0,1000,1.000,0.669,0.265,,0.571,0.642,0.579,0.544,0.229,,0.516,0.591,0.518
0.4,0.75,250,0.937,1.328,0.615,,1.006,0.872,1.378,0.857,0.482,,0.843,0.737,1.145
0.4,0.75,500,0.986,0.685,0.387,,0.669,0.608,0.837,0.519,0.328,,0.573,0.529,0.701
0.4,0.75,1000,0.999,0.421,0.263,,0.466,0.450,0.518,0.366,0.227,,0.407,0.395,0.446
0.4,1,250,0.991,1.665,1.417,,1.113,1.042,1.398,1.085,0.451,,0.914,0.850,1.141
0.4,1,500,1.000,0.904,0.351,,0.710,0.623,0.816,0.708,0.301,,0.589,0.533,0.687
0.4,1,1000,1.000,0.554,1.830,,0.466,0.431,0.513,0.448,0.216,,0.398,0.371,0.441
0.6,0,250,0.185,0.530,0.255,,0.337,0.346,0.352,0.400,0.215,,0.298,0.309,0.301
0.6,0,500,0.097,0.291,0.158,0.253,0.236,0.253,0.246,0.232,0.137,0.218,0.211,0.225,0.211
0.6,0,1000,0.128,0.198,0.119,,0.181,0.186,0.193,0.166,0.105,,0.157,0.164,0.169
0.6,0.75,250,0.091,0.387,0.223,0.394,0.398,0.354,0.490,0.325,0.198,0.360,0.333,0.306,0.405
0.6,0.75,500,0.026,0.245,0.157,0.310,0.258,0.232,0.285,0.199,0.138,0.273,0.220,0.202,0.245
0.6,0.75,1000,0.004,0.168,0.108,0.236,0.179,0.172,0.196,0.142,0.094,0.209,0.155,0.151,0.166
0.6,1,250,0.077,0.444,0.211,0.315,0.403,0.372,0.489,0.360,0.174,0.280,0.336,0.310,0.395
0.6,1,500,0.023,0.262,0.138,0.263,0.260,0.235,0.299,0.218,0.119,0.224,0.222,0.198,0.258
0.6,1,1000,0.003,0.178,0.104,0.196,0.176,0.166,0.199,0.152,0.090,0.165,0.152,0.146,0.174
0.8,0,250,0.029,0.193,0.143,0.245,0.173,0.171,0.194,0.158,0.120,0.205,0.152,0.150,0.166
0.8,0,500,0.031,0.126,0.090,0.176,0.129,0.125,0.142,0.108,0.076,0.144,0.112,0.110,0.121
0.8,0,1000,0.048,0.090,0.071,0.140,0.094,0.094,0.100,0.077,0.063,0.109,0.082,0.084,0.087
